ID,density,gas_v_stp_v,surface,volum_access,PLD,LCD,valfraction,C,H,N,O,F,Cl,Br,total_unsaturation,per_c_unsaturation,electric_atom_to_total,weighted_electric_per_atom
1 3 2 6 2,0.231859,113.9558266,6429.01,16429.1,36.128,36.94616,0.72764,204,108,12,0,0,12,0,151,0.74,0.07,0.21
1 3 2 6 3,0.271088,89.92768444,5535.69,16365.5,36.128,36.93674,0.72482,204,108,12,0,0,0,12,151,0.74,0.07,0.21
1 3 2 6 4,0.21469,114.5193242,6864.1,16528.9,36.128,36.94616,0.73206,204,108,12,12,0,0,0,157,0.77,0.07,0.23
1 3 2 6 5,0.21558,118.1028821,6886.31,16510.4,36.128,36.94616,0.73124,204,120,12,12,0,0,0,151,0.74,0.07,0.22
1 3 2 6 6,0.213821,115.4075998,6955.71,16486.5,36.128,36.79744,0.73018,204,120,24,0,0,0,0,157,0.77,0.07,0.21
1 3 2 6 7,0.214711,118.1918044,6990.04,16431.9,35.64239,36.35006,0.72776,204,132,24,0,0,0,0,151,0.74,0.07,0.2
1 3 2 6 8,0.241171,118.3370377,6331.06,16233.2,34.8082,35.66575,0.71896,204,108,24,24,0,0,0,163,0.8,0.13,0.43
1 3 2 6 9,0.21206,117.5492751,7060.47,16435.9,36.128,36.79744,0.72794,216,120,12,0,0,0,0,163,0.75,0.03,0.1
1 3 2 7 0,0.340369,120.9321875,5060.66,9376.13,27.76162,29.17626,0.60136,240,144,12,0,0,0,0,175,0.73,0.03,0.09
1 3 2 7 1,0.363361,119.8215232,4763.89,9280.4,27.76162,29.17626,0.59522,240,132,12,0,12,0,0,175,0.73,0.06,0.21
1 3 2 7 2,0.384391,117.3465202,4509.73,9174.06,27.76162,29.17626,0.5884,240,132,12,0,0,12,0,175,0.73,0.06,0.18
1 3 2 7 3,0.441201,95.46233531,3896.1,9132.9,27.76162,29.17626,0.58576,240,132,12,0,0,0,12,175,0.73,0.06,0.18
1 3 2 7 4,0.359528,118.0113818,4817.56,9266.05,27.76162,29.17626,0.5943,240,132,12,12,0,0,0,181,0.75,0.06,0.2
1 3 2 7 5,0.360816,117.6091709,4826.34,9240.48,27.76162,29.17626,0.59266,240,144,12,12,0,0,0,175,0.73,0.06,0.19
1 3 2 7 6,0.35827,117.2495862,4843.79,9223.02,27.76162,29.17626,0.59154,240,144,24,0,0,0,0,181,0.75,0.06,0.18
1 3 2 7 7,0.359559,119.4512124,4828.41,9182.17,27.76162,29.17626,0.58892,240,156,24,0,0,0,0,175,0.73,0.06,0.17
1 3 2 7 8,0.397877,112.7005365,4272.71,9039.35,27.75582,29.17616,0.57976,240,132,24,24,0,0,0,187,0.78,0.11,0.37
1 3 2 7 9,0.355719,120.2004312,4858.8,9177.8,27.76162,29.17626,0.58864,252,144,12,0,0,0,0,187,0.74,0.03,0.09
1 3 2 9 0,0.277698,127.4585588,6110.24,10058.3,27.58454,28.54505,0.6512,192,108,12,0,0,0,0,145,0.76,0.04,0.12
1 3 2 9 1,0.300906,125.8829425,5612.91,10005.2,27.58454,28.54505,0.64776,192,96,12,0,12,0,0,145,0.76,0.08,0.27
1 3 2 9 2,0.322135,127.391001,5241,9934.76,27.58454,28.49095,0.6432,192,96,12,0,0,12,0,145,0.76,0.08,0.23
1 3 2 9 3,0.37948,103.7617321,4444.64,9894.29,27.58454,28.32789,0.64058,192,96,12,0,0,0,12,145,0.76,0.08,0.22
1 3 2 9 4,0.297037,129.4333327,5684.78,9995.31,27.58454,28.54505,0.64712,192,96,12,12,0,0,0,151,0.79,0.08,0.25
1 3 2 9 5,0.298338,132.3629694,5678.4,9950.51,27.58454,28.25502,0.64422,192,108,12,12,0,0,0,145,0.76,0.07,0.24
1 3 2 9 6,0.295768,130.3432689,5705.82,9966.58,27.58454,28.54505,0.64526,192,108,24,0,0,0,0,151,0.79,0.07,0.22
1 3 2 9 7,0.297068,133.8155254,5893.69,9875.76,27.23174,27.64076,0.63938,192,120,24,0,0,0,0,145,0.76,0.07,0.21
