ID,density,gas_v_stp_v,surface,volum_access,PLD,LCD,valfraction,C,H,N,O,F,Cl,Br,total_unsaturation,per_c_unsaturation,electric_atom_to_total,weighted_electric_per_atom,gas_sorption,gas_desorption,gas_desor_vstpv,gas_sor_vstpv
0 1 1 5 1,0.537231,134.7678915,4404.21,1682.58,13.55647,14.82071,0.46242,60,60,12,0,12,0,0,31,0.52,0.17,0.58,15.1460089,3.934632308,47.29678782,182.0646793
0 1 1 5 2,0.627345,123.5203992,3760.47,1614.02,13.55647,14.82071,0.44358,60,60,12,0,0,12,0,31,0.52,0.17,0.5,12.00641234,3.206753854,45.01305552,168.5334547
0 1 1 5 3,0.870774,84.20474359,2634.6,1584.41,13.55426,14.82071,0.43544,60,60,12,0,0,0,12,31,0.52,0.17,0.48,5.965289286,1.64348917,32.02128291,116.2260265
0 1 1 5 4,0.520807,133.8099963,4535.9,1672.24,13.55647,14.82071,0.45958,60,60,12,12,0,0,0,37,0.62,0.17,0.54,15.871787,4.389052636,51.14627741,184.9562737
0 1 1 5 5,0.526328,136.3656708,4506.44,1653.54,13.55647,14.82071,0.45444,60,72,12,12,0,0,0,31,0.52,0.15,0.5,16.03178734,4.452491474,52.43557067,188.8012415
0 1 1 5 6,0.515419,129.7471219,4591.97,1632.87,13.55647,14.82071,0.44876,60,72,24,0,0,0,0,37,0.62,0.15,0.46,15.42380345,4.173327876,48.12927925,177.8764011
0 1 1 5 7,0.520939,140.1194396,4580.66,1610.9,13.555,14.79924,0.44272,60,84,24,0,0,0,0,31,0.52,0.14,0.43,16.68791471,4.666790297,54.39657879,194.5160184
0 1 1 5 8,0.685131,109.4910951,3449.32,1495.26,13.09462,14.64517,0.41094,60,60,24,24,0,0,0,43,0.72,0.29,0.93,10.43570062,3.293389681,50.48741868,159.9785138
0 1 1 5 9,0.504488,130.3113346,4594.02,1608.28,13.55647,14.82071,0.442,72,72,12,0,0,0,0,43,0.6,0.08,0.23,16.06241082,4.518182044,51.00127032,181.312605
0 1 1 6 0,0.221069,123.3070547,7476.76,6624.73,26.6061,27.61169,0.7058,84,72,12,0,0,0,0,55,0.65,0.07,0.21,28.85996927,3.931612613,19.44755436,142.754609
0 1 1 6 1,0.259261,118.415602,6550.92,6521.86,26.6061,27.61169,0.69484,84,60,12,0,12,0,0,55,0.65,0.14,0.5,23.52992797,3.116999797,18.08174722,136.4973492
0 1 1 6 2,0.294195,116.5307994,5893.04,6403.78,26.60857,27.56584,0.68226,84,60,12,0,0,12,0,55,0.65,0.14,0.43,20.59243749,2.889757836,19.02230607,135.5531055
0 1 1 6 3,0.388563,85.42540456,4505.01,6349.34,26.6061,27.46424,0.67646,84,60,12,0,0,0,12,55,0.65,0.14,0.41,11.36434372,1.538741616,13.3780733,98.8034779
0 1 1 6 4,0.252894,120.1707849,6740.54,6504.78,26.6061,27.61169,0.69302,84,60,12,12,0,0,0,61,0.73,0.14,0.46,24.65583927,3.418801266,19.34544881,139.5162337
0 1 1 6 5,0.255034,127.4476635,6843.89,6470.43,26.46158,27.57813,0.68936,84,72,12,12,0,0,0,55,0.65,0.13,0.43,26.00528206,3.671238044,20.94966369,148.3973272
0 1 1 6 6,0.250805,124.137083,6895.58,6453.16,26.33291,27.57673,0.68752,84,72,24,0,0,0,0,61,0.73,0.13,0.4,25.89954138,3.77883874,21.2061084,145.3431913
0 1 1 6 7,0.252945,131.0013228,6870.11,6407.91,25.55982,26.65254,0.6827,84,84,24,0,0,0,0,55,0.65,0.12,0.38,27.24122297,4.094838946,23.17551278,154.1768356
0 1 1 6 8,0.316596,127.9953937,5676.34,6223.38,24.72509,25.9244,0.66304,84,60,24,24,0,0,0,67,0.8,0.25,0.81,21.7088746,3.640358406,25.78790104,153.7832948
0 1 1 6 9,0.246568,127.4408008,7083.48,6400.59,26.33291,27.57673,0.68192,96,72,12,0,0,0,0,67,0.7,0.07,0.2,27.13106275,4.03141532,22.24132633,149.6821271
0 1 1 9 0,0.454795,122.0140386,4583.47,1843.37,15.08332,16.44447,0.46176,72,60,12,0,0,0,0,49,0.68,0.08,0.25,15.83766507,3.84743012,39.15190064,161.1659393
